geo_key,country,city,region
3f0a9c37-c531-48eb-a77d-c3bdb635751d,United Kingdom,,
72666f22-125a-4dee-8f20-b0801e068486,United Kingdom,Jasonview,Mississippi
bbca9001-f7d6-4eda-8650-6e968973c2e3,United Kingdom,New Cynthiaside,Vermont
4bab7ad9-6610-4a33-8bc4-86725b6438c2,United Kingdom,East Steven,Washington
e7e99144-d104-40b1-b4de-5d1c4cadb859,Germany,,
1be43dde-78b1-4b68-8e3a-a8fdf2c36d63,Germany,Lake Mark,Louisiana
71ce0daa-8a88-46c7-b1c1-0d3035e3f414,France,,
4e4a0259-dc17-4494-94b7-3c679b40aefa,France,East Lydiamouth,Wyoming
0067d60f-54a3-4df9-bddb-9aa425cda703,Italy,,
7cf6bc5f-6339-49d9-baae-0d179d5d6e49,Italy,Carlshire,Montana
dae61131-8c8c-4b72-a9b0-b9071348bd92,Spain,,
3798e452-60b0-4376-918e-6002fe2ebea5,Spain,Jasonfort,Virginia
b0577529-f155-4bfb-bebf-1955eac488af,Spain,Thomasberg,Montana
57036e1f-0041-44d2-a723-7a54e2aff222,Spain,Juliechester,Kansas
52f9d7a2-e276-4507-964d-49b943fc4e91,Netherlands,,
b3ae1b03-5c9e-4140-ab2d-5ea401c30ac4,Netherlands,Coxberg,Pennsylvania
f96af737-807e-45ab-ba27-aae2ee482be6,Belgium,,
ebdb2a64-1aed-4357-9073-8bc12df548bc,Belgium,Daviston,North Carolina
1b0b9cb3-78f8-4031-8a71-3439ea8a8f6f,Belgium,Lake Ernest,Delaware
28dcf5a3-dbdf-4cbf-ae15-67143f235e95,Belgium,Carlsonfurt,Utah
8057664c-6a2d-4ea8-9c26-bee7831a63a8,Switzerland,,
ebba17b7-3748-4f94-bb2a-504aa6e1f375,Switzerland,Riceside,Missouri
645ce865-fa6f-4c47-ad54-de3df6080d85,Austria,,
2c12b086-a392-4717-8d39-549868f328f5,Austria,Lake Nicoleview,Alabama
724e8ff3-0f41-417f-9855-51edae69083c,Austria,Danielchester,Wyoming
69699a92-6780-4f27-9f0b-e32a6f8dd7e3,Sweden,,
6508f802-b142-488d-a521-12eb536b710a,Sweden,Smithview,Hawaii
4cfd959e-cc7c-47a9-b5d2-99233021d07a,Sweden,New Rita,North Carolina
20b88e34-62ec-4118-ad8e-3db87b790ad8,Sweden,Meaganhaven,South Dakota
93be0709-a33b-497e-ba2b-263a2e47baf0,Norway,,
46b7264c-5e14-4530-95ff-fa617f4cde5c,Norway,East Nathaniel,Rhode Island
60b70180-1dd7-4e5a-873a-0f14a55fd9be,Norway,New Mariotown,Hawaii
de0f4800-07c6-42af-b62f-3f28b54421fb,Norway,Natashaport,Delaware
4eb71812-e98f-4e3a-8c72-27a796258361,Denmark,,
6e273461-7ca6-4875-9dff-967722e6a966,Denmark,East Natalieland,Kansas
af5127b3-0708-4811-9a2e-91a1cbd6a349,Finland,,
1c3ae1fe-54a7-4924-bf58-52f36b40751a,Finland,Cabreraside,Colorado
92320e63-1860-4490-97b6-377447a8df86,Finland,East Donna,Wyoming
018e435f-d95b-4c6d-a2d9-aff6342a5d60,Poland,,
b050c253-e139-45b6-b93c-3879c3d99509,Poland,West Allison,Oklahoma
660dc3f9-b777-4344-9967-fae2ce093e91,Czech Republic,,
f2d3afc3-c186-4156-b1b5-4882577d661f,Czech Republic,Brandtside,Rhode Island
4468dc00-b6e5-440d-b065-09c2694b1043,Hungary,,
9d6f5c23-da6e-4b11-b94c-9f1047fb3b50,Hungary,Lake Larry,Wisconsin
7fa4d47d-2e95-4718-844a-bfefbafda482,Hungary,Samuelhaven,Texas
125bb822-2d19-4dae-86da-f77fc8da7f23,Romania,,
d4472307-5854-4613-b1c1-71d764437485,Romania,East Jeffreymouth,New Hampshire
888899c5-5b3b-41b9-a700-6d5c254a9ca1,Romania,New Jeffrey,Alaska
543d89c4-454a-4159-b1c1-c44d3c0f8ac1,Greece,,
682e22e3-b544-44ac-a463-50525b9cee7e,Greece,East Carloston,California
39a7a048-fe5d-4dc1-9ff0-57ed74fd743c,Portugal,,
3f491e50-f45e-4050-b165-2862dffc490d,Portugal,New Johnfort,Michigan
a9206654-62ca-471e-a28e-7112a1e1d263,Portugal,Lake Selena,Indiana
a1947e60-a4b0-47bb-b318-64180dadb423,Ireland,,
282a6268-54e7-41c0-8671-583a8c2a73de,Ireland,Sanchezfort,Oregon
